x,relative_density,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
308,0.0548098,57074.5,20560.1,70.1893,260.246,33.7714
309,0.0536913,57063.1,20591.9,70.1574,260.141,33.876
310,0.0548098,57051.4,20624.4,70.1248,260.034,33.9829
311,0.0536913,57039.9,20656.1,70.0929,259.929,34.0877
312,0.0536913,57028.3,20687.9,70.061,259.825,34.1926
313,0.0548098,57016.6,20720.3,70.0284,259.717,34.2998
314,0.0536913,57005,20752.1,69.9965,259.612,34.405
315,0.0536913,56993.5,20783.8,69.9646,259.507,34.5103
316,0.0536913,56981.9,20815.5,69.9327,259.401,34.6157
317,0.0536913,56970.3,20847.2,69.9008,259.296,34.7212
318,0.0536913,56958.7,20878.9,69.869,259.19,34.8269
319,0.0536913,56947.1,20910.6,69.8371,259.084,34.9326
320,0.0536913,56935.4,20942.3,69.8052,258.979,35.0385
321,0.0536913,56923.8,20973.9,69.7734,258.873,35.1445
322,0.0525727,56912.4,21004.9,69.7422,258.769,35.2484
323,0.0536913,56900.7,21036.5,69.7104,258.663,35.3546
324,0.0525727,56889.2,21067.5,69.6792,258.558,35.4587
325,0.0536913,56877.5,21099.1,69.6474,258.452,35.5652
326,0.0525727,56866,21130,69.6162,258.348,35.6695
327,0.0525727,56854.5,21160.9,69.585,258.243,35.774
328,0.0536913,56842.8,21192.5,69.5532,258.136,35.8808
329,0.0525727,56831.2,21223.4,69.5221,258.032,35.9855
330,0.0525727,56819.7,21254.2,69.491,257.927,36.0902
331,0.0525727,56808.1,21285.1,69.4598,257.822,36.1951
332,0.0525727,56796.6,21316,69.4287,257.717,36.3002
333,0.0525727,56785,21346.8,69.3976,257.612,36.4053
334,0.0514541,56773.6,21377,69.3671,257.509,36.5083
335,0.0525727,56762,21407.8,69.336,257.404,36.6136
336,0.0525727,56750.4,21438.6,69.3049,257.298,36.719
337,0.0514541,56739,21468.7,69.2745,257.195,36.8223
338,0.0525727,56727.4,21499.5,69.2434,257.089,36.928
339,0.0525727,56715.7,21530.3,69.2124,256.983,37.0338
340,0.0514541,56704.2,21560.4,69.1819,256.88,37.1374
341,0.0514541,56692.8,21590.5,69.1515,256.776,37.2411
342,0.0525727,56681.1,21621.2,69.1205,256.67,37.3472
343,0.0514541,56669.6,21651.3,69.0901,256.566,37.4511
344,0.0514541,56658.1,21681.3,69.0597,256.462,37.5551
345,0.0514541,56646.6,21711.3,69.0293,256.358,37.6593
346,0.0514541,56635.1,21741.4,68.999,256.254,37.7635
347,0.0514541,56623.6,21771.4,68.9686,256.149,37.8678
348,0.0514541,56612,21801.4,68.9382,256.045,37.9723
349,0.0514541,56600.5,21831.4,68.9079,255.94,38.0768
350,0.0514541,56588.9,21861.3,68.8775,255.836,38.1815
351,0.0503356,56577.6,21890.7,68.8478,255.733,38.2839
352,0.0514541,56566,21920.6,68.8175,255.628,38.3888
353,0.0503356,56554.6,21949.9,68.7878,255.526,38.4914
354,0.0514541,56543,21979.8,68.7575,255.421,38.5965
355,0.0503356,56531.6,22009.1,68.7278,255.318,38.6993
356,0.0514541,56519.9,22039,68.6975,255.213,38.8045
357,0.0503356,56508.5,22068.2,68.6679,255.11,38.9076
358,0.0503356,56497.1,22097.5,68.6383,255.006,39.0107
359,0.0514541,56485.4,22127.3,68.608,254.901,39.1162
360,0.0503356,56474,22156.5,68.5783,254.798,39.2196
361,0.0503356,56462.5,22185.7,68.5487,254.694,39.323
362,0.0503356,56451,22214.9,68.5191,254.591,39.4265
363,0.0503356,56439.5,22244.1,68.4895,254.487,39.5301
364,0.0503356,56428,22273.3,68.4599,254.383,39.6338
365,0.0503356,56416.5,22302.4,68.4303,254.279,39.7376
366,0.0503356,56405,22331.5,68.4007,254.176,39.8415
367,0.049217,56393.7,22360,68.3718,254.074,39.9432
368,0.0503356,56382.2,22389.1,68.3422,253.97,40.0473
369,0.0503356,56370.6,22418.2,68.3126,253.866,40.1514
370,0.049217,56359.3,22446.7,68.2837,253.764,40.2534
371,0.0503356,56347.7,22475.7,68.2541,253.659,40.3577
372,0.049217,56336.3,22504.2,68.2252,253.557,40.4598
373,0.0503356,56324.7,22533.2,68.1957,253.453,40.5644
374,0.049217,56313.4,22561.6,68.1668,253.35,40.6667
375,0.049217,56302,22590,68.1379,253.248,40.7691
376,0.0503356,56290.3,22619,68.1084,253.143,40.8739
377,0.049217,56278.9,22647.4,68.0795,253.041,40.9764
378,0.049217,56267.5,22675.7,68.0506,252.938,41.0791
379,0.049217,56256.1,22704.1,68.0218,252.835,41.1818
380,0.049217,56244.6,22732.4,67.9929,252.732,41.2846
381,0.049217,56233.2,22760.7,67.9641,252.63,41.3875
382,0.049217,56221.7,22789,67.9353,252.527,41.4905
383,0.049217,56210.3,22817.3,67.9064,252.424,41.5936
384,0.0480984,56199,22844.9,67.8782,252.323,41.6944
385,0.049217,56187.5,22873.2,67.8494,252.219,41.7977
386,0.049217,56176,22901.4,67.8206,252.116,41.901
387,0.049217,56164.5,22929.7,67.7918,252.013,42.0044
388,0.0480984,56153.2,22957.3,67.7636,251.912,42.1056
389,0.049217,56141.7,22985.5,67.7348,251.808,42.2092
390,0.0480984,56130.4,23013.1,67.7067,251.707,42.3105
391,0.049217,56118.8,23041.3,67.6779,251.603,42.4142
392,0.0480984,56107.5,23068.8,67.6498,251.501,42.5157
393,0.0480984,56096.2,23096.4,67.6217,251.4,42.6173
394,0.049217,56084.6,23124.5,67.5929,251.296,42.7213
395,0.0480984,56073.2,23152,67.5648,251.194,42.823
396,0.0480984,56061.8,23179.5,67.5367,251.092,42.9248
397,0.0480984,56050.5,23207,67.5086,250.99,43.0267
398,0.0480984,56039.1,23234.5,67.4805,250.888,43.1286
399,0.0480984,56027.7,23262,67.4524,250.786,43.2307
400,0.0480984,56016.3,23289.4,67.4243,250.684,43.3328
401,0.0480984,56004.9,23316.9,67.3962,250.582,43.435
402,0.0480984,55993.4,23344.3,67.3682,250.48,43.5373
403,0.0480984,55982,23371.7,67.3401,250.378,43.6396
404,0.0469799,55970.8,23398.5,67.3127,250.277,43.7397
405,0.0480984,55959.3,23425.9,67.2846,250.175,43.8422
406,0.0480984,55947.9,23453.3,67.2566,250.072,43.9447
407,0.0469799,55936.6,23480.1,67.2292,249.972,44.045
408,0.0480984,55925.2,23507.4,67.2012,249.869,44.1478
409,0.0480984,55913.6,23534.8,67.1731,249.767,44.2506
410,0.0469799,55902.4,23561.5,67.1458,249.666,44.3511
411,0.0469799,55891.1,23588.2,67.1184,249.565,44.4516
412,0.0480984,55879.6,23615.5,67.0904,249.462,44.5547
413,0.0469799,55868.3,23642.2,67.063,249.362,44.6554
414,0.0469799,55857,23668.9,67.0357,249.261,44.7562
415,0.0480984,55845.4,23696.1,67.0077,249.158,44.8595
416,0.0469799,55834.1,23722.8,66.9803,249.057,44.9604
417,0.0469799,55822.8,23749.4,66.953,248.956,45.0614
418,0.0469799,55811.5,23776,66.9257,248.855,45.1625
419,0.0469799,55800.1,23802.7,66.8984,248.753,45.2637
420,0.0469799,55788.8,23829.3,66.871,248.652,45.3649
421,0.0469799,55777.4,23855.9,66.8437,248.551,45.4662
422,0.0469799,55766,23882.4,66.8164,248.45,45.5676
423,0.0469799,55754.7,23909,66.7891,248.348,45.669
424,0.0458613,55743.5,23934.9,66.7625,248.249,45.7681
425,0.0469799,55732.1,23961.5,66.7352,248.147,45.8697
426,0.0469799,55720.7,23988,66.7079,248.046,45.9713
427,0.0469799,55709.3,24014.5,66.6806,247.944,46.0731
428,0.0458613,55698.1,24040.4,66.654,247.845,46.1724
429,0.0469799,55686.7,24066.9,66.6267,247.743,46.2743
430,0.0458613,55675.5,24092.8,66.6001,247.643,46.3738
431,0.0469799,55664,24119.3,66.5729,247.541,46.4758
432,0.0458613,55652.8,24145.1,66.5463,247.442,46.5755
433,0.0469799,55641.3,24171.6,66.519,247.34,46.6776
434,0.0458613,55630.1,24197.4,66.4924,247.24,46.7774
435,0.0458613,55618.9,24223.2,66.4658,247.14,46.8772
436,0.0469799,55607.3,24249.6,66.4386,247.038,46.9796
437,0.0458613,55596.1,24275.4,66.412,246.938,47.0796
438,0.0458613,55584.8,24301.2,66.3855,246.838,47.1796
439,0.0458613,55573.6,24327,66.3589,246.737,47.2797
440,0.0458613,55562.3,24352.7,66.3323,246.637,47.3799
441,0.0458613,55551,24378.5,66.3058,246.537,47.4801
442,0.0458613,55539.7,24404.2,66.2792,246.437,47.5804
443,0.0458613,55528.4,24429.9,66.2527,246.336,47.6808
444,0.0458613,55517,24455.7,66.2262,246.236,47.7812
