time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
271.106,4527.42,60495.7,4.27997,1.63757,292.38
271.117,4526.81,60495.7,4.27939,1.63713,292.38
271.128,4526.2,60495.7,4.27881,1.63669,292.38
271.139,4525.59,60495.8,4.27823,1.63624,292.381
271.15,4524.97,60495.8,4.27765,1.6358,292.381
271.161,4524.36,60495.9,4.27707,1.63536,292.382
271.172,4523.75,60495.9,4.27649,1.63492,292.382
271.183,4523.14,60496,4.27591,1.63447,292.383
271.194,4522.52,60496,4.27533,1.63403,292.383
271.205,4521.91,60496.1,4.27475,1.63359,292.384
271.216,4521.3,60496.1,4.27417,1.63315,292.384
271.227,4520.69,60496.2,4.27359,1.6327,292.384
271.238,4520.07,60496.2,4.27301,1.63226,292.385
271.249,4519.46,60496.2,4.27243,1.63182,292.385
271.26,4518.85,60496.3,4.27185,1.63138,292.386
271.271,4518.24,60496.3,4.27127,1.63094,292.386
271.282,4517.63,60496.4,4.27069,1.63049,292.387
271.293,4517.02,60496.4,4.27011,1.63005,292.387
271.304,4516.4,60496.5,4.26953,1.62961,292.388
271.315,4515.79,60496.5,4.26895,1.62917,292.388
271.326,4515.18,60496.6,4.26838,1.62873,292.388
271.337,4514.57,60496.6,4.2678,1.62829,292.389
271.348,4513.96,60496.7,4.26722,1.62785,292.389
271.359,4513.35,60496.7,4.26664,1.62741,292.39
271.37,4512.74,60496.7,4.26606,1.62697,292.39
271.381,4512.13,60496.8,4.26548,1.62653,292.391
271.392,4511.51,60496.8,4.2649,1.62609,292.391
271.403,4510.9,60496.9,4.26432,1.62565,292.391
271.414,4510.29,60496.9,4.26375,1.62521,292.392
271.425,4509.68,60497,4.26317,1.62477,292.392
271.436,4509.07,60497,4.26259,1.62433,292.393
271.447,4508.46,60497.1,4.26201,1.62389,292.393
271.458,4507.85,60497.1,4.26143,1.62345,292.394
271.469,4507.24,60497.2,4.26086,1.62301,292.394
271.48,4506.63,60497.2,4.26028,1.62257,292.395
271.491,4506.02,60497.2,4.2597,1.62213,292.395
